uuid,"Fully specified name:en","Short name:en",Description:en,Void/Retire,"Data class","Data type","Complex data handler","Allow decimals",Units,"Normal high","Normal low",Members,Answers,_version:1,_order:1040
728523d2-2ae5-4c13-953c-0d82a5441de7,"Other Cleft Surgery","Other Cleft Surgery (Describe in Note)",,,Misc,Coded,,,,,,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,
b95331db-8723-4b49-9999-949a7e71eef0,"Intake complete",,,,Misc,N/A,,,,,,,,,
86822a5d-1ef4-4af9-90d8-69e9fe46720e,"Diagnosis determined",,,,Misc,N/A,,,,,,,,,
b6eca1a6-f3a7-4661-8bdf-e7ed9f177008,"Reviewed in team meeting",,,,Misc,N/A,,,,,,,,,
d3fae7b9-139b-4fd5-8a3a-f035f4f84f74,"3-month review complete",,,,Misc,N/A,,,,,,,,,
31e352cf-2f7d-41d4-8dc1-c9691bfca9ec,"2 year review complete",,,,Misc,N/A,,,,,,,,,
d873e29f-5b35-41bb-bacc-1405829de159,"3 year review complete",,,,Misc,N/A,,,,,,,,,
2c384bbc-a863-472f-9324-1e427f1a39ba,"4 year review complete",,,,Misc,N/A,,,,,,,,,
422d1b58-b7d1-431d-8738-fc4641a22963,"Monthly review complete",,,,Misc,N/A,,,,,,,,,
1341de70-b329-4764-b82d-db70044c65e6,"Annual review complete",,,,Misc,N/A,,,,,,,,,
ca43e2c8-3ccb-430f-8753-2a28ad3a709e,"Cleft Care Program",,,,Misc,N/A,,,,,,,,,
d231899b-0474-41a7-84cb-dc6a586b49e4,"Is under Evaluation",,,,Misc,Date,,,,,,,,,
af05204d-cd2e-4edb-ba3b-89c4ff366bba,"Therapy session",,,,Misc,N/A,,,,,,,,,
f0ef4867-f4e9-4fdc-b5f1-f7f3ac11beaa,"Therapy complete",,,,Misc,N/A,,,,,,,,,
def794f4-142b-4274-8998-4c26316b0a28,"Speech Therapy Program",,,,Misc,N/A,,,,,,,,,
b124e993-5203-4868-8547-7312ce56cd11,"Speech Therapy - Type 1","Type 1",,,Misc,N/A,,,,,,,,,
3c5367c3-3918-4fe3-8ee0-24abe5c7d03c,"Speech Therapy - Type 2","Type 2",,,Misc,N/A,,,,,,,,,
46f2008d-896a-4a99-ad7b-c2e21a99f573,Adequate,,,,Misc,N/A,,,,,,,,,
19445afc-e20a-4a9b-91d3-e35c8ba05365,Inadequate,"Inadequate (describe in note)",,,Misc,N/A,,,,,,,,,
c1a98c2f-a037-4a6d-a1f1-39fbbbf22003,Abnormal,,,,Misc,N/A,,,,,,,,,
edd588bb-8474-4d16-b0d3-c9116f6119e8,"Age Appropriate",,,,Misc,N/A,,,,,,,,,
91359b65-77dc-463f-9957-5567f78cb914,"Delayed - Mild",,,,Misc,N/A,,,,,,,,,
a814089b-843c-47f7-8192-61602c82bc21,"Delayed - Moderate",,,,Misc,N/A,,,,,,,,,
7608483e-ddaf-48be-bfe7-935c72fdb37b,"Delayed - Severe",,,,Misc,N/A,,,,,,,,,
131394eb-204c-41e3-890d-45e6e670616b,Appropriate,,,,Misc,N/A,,,,,,,,,
74aae598-0ec1-483e-99e5-72c11af692c4,"Inappropriate - High",,,,Misc,N/A,,,,,,,,,
46c8804d-0a00-4180-b80f-e5f09451e107,"Inappropriate - Low",,,,Misc,N/A,,,,,,,,,
24453c53-8923-4deb-bd58-6666eac9897d,"Inappropriate - Soft",,,,Misc,N/A,,,,,,,,,
d1502e5f-2b01-48d2-a3a8-c16c2d108dfd,"Inappropriate - Breaks",,,,Misc,N/A,,,,,,,,,
4d6a43c0-3e18-4f71-ba34-4dc78bae4bdd,"Inappropriate - Nasal",,,,Misc,N/A,,,,,,,,,
3234690b-0a67-4fd0-b027-0940aade5a34,"Inappropriate - Hoarse",,,,Misc,N/A,,,,,,,,,
b4d2bb2e-6aeb-486c-9bf7-f07a4eeadd8e,"Inappropriate - Harsh",,,,Misc,N/A,,,,,,,,,
c97a4b31-f0b6-4fd3-8caa-3e4fffa11d8b,"Inappropriate - Breathy",,,,Misc,N/A,,,,,,,,,
08a18f78-66b3-4cd1-8865-bf3d342bc23d,"Inappropriate - Strained",,,,Misc,N/A,,,,,,,,,
2a592bb3-6d2b-4f14-89dc-47e537c61d1c,"Inappropriate - Aphonic",,,,Misc,N/A,,,,,,,,,
ae7c6c2a-c711-4bb7-9b6c-6346ba9c52ab,"Hyponasality - Mild",,,,Misc,N/A,,,,,,,,,
32c54e77-5126-4448-b027-4a8d7f60a256,"Hyponasality - Moderate",,,,Misc,N/A,,,,,,,,,
228ae12c-3c48-42cc-b15b-f38e70f705a7,"Hyponasality - severe",,,,Misc,N/A,,,,,,,,,
a16d3e0f-9be2-4bad-a1a1-174c332c1219,"Hypernasality - mild",,,,Misc,N/A,,,,,,,,,
13de5d71-6204-499d-ab32-2629f3ce919c,"Hypernasality - moderate",,,,Misc,N/A,,,,,,,,,
2b51553e-02f0-4e3d-aeb9-770f7f5021f8,"Hypernasality - Severe",,,,Misc,N/A,,,,,,,,,
0372400f-a051-495d-b2ab-33dd025f66da,Fair,,,,Misc,N/A,,,,,,,,,
39a19f17-402e-40a8-841c-1feb4bc16640,Poor,,,,Misc,N/A,,,,,,,,,
6fec766c-62b5-451a-8e94-97e71e04c30b,Passed,,,,Misc,N/A,,,,,,,,,
481d7bba-8ce0-4d0c-a7f6-6d3d890c4e8b,Failed,,,,Misc,N/A,,,,,,,,,
a1212087-35f0-4a94-98d5-495119714b01,"Below Average",,,,Misc,N/A,,,,,,,,,
2ed5bb3c-c008-4b02-a4af-8e0d68405fd6,Average,,,,Misc,N/A,,,,,,,,,
0f68e2e0-7a8b-48dc-a7d1-4a804b82bd3d,"Above Average",,,,Misc,N/A,,,,,,,,,
85c79283-18a4-4d95-bdd4-3bede3e1c473,Examined,,,,Misc,N/A,,,,,,,,,
3f9905a5-3b2d-4dbc-b17a-5b2a50216450,Scarred,,,,Misc,N/A,,,,,,,,,
7f2b54a7-cde0-4437-996f-881b9220a244,Narrow,,,,Misc,N/A,,,,,,,,,
e8f9cdc5-1cec-451c-8792-74b9be978f30,Repaired,,,,Misc,N/A,,,,,,,,,
39edec5d-dc50-4f12-b440-3e23688506b1,"Deviant Left",,,,Misc,N/A,,,,,,,,,
0e0196f8-b8a0-4e8c-bd62-6b4daab02345,"Deviant Right",,,,Misc,N/A,,,,,,,,,
8d768a1b-5084-4cd2-9286-567f8feb35f8,"Slight or None",,,,Misc,N/A,,,,,,,,,
f04f030d-5ab8-4123-8c72-175af0d50f75,"Apparently Normal",,,,Misc,N/A,,,,,,,,,
4d9434de-048a-4016-960a-321c73e4d2ac,Short,,,,Misc,N/A,,,,,,,,,
6b83cdbf-1f9b-4281-a1ed-0184886f5a5b,"Bifid Uvula",,,,Misc,N/A,,,,,,,,,
88c4ccbc-9e92-4057-9bbc-2216044907e5,Given,,,,Misc,N/A,,,,,,,,,
6ea87999-e358-4cf8-a022-09ae3ff73c12,"Not Given",,,,Misc,N/A,,,,,,,,,
cf3ae83c-412b-488a-8891-ccc51a43f89c,Auditory,,,,Misc,N/A,,,,,,,,,
11b35c65-0b8f-4f88-85f5-b028bb267b14,Visual,,,,Misc,N/A,,,,,,,,,
1cac8fcc-8015-4f56-8be2-5235c8812ae7,"Auditory and Visual",,,,Misc,N/A,,,,,,,,,
3e44b03a-8b41-4752-abff-10567397f47f,Clinician,,,,Misc,N/A,,,,,,,,,
ee368a30-bd1d-4ccf-96fc-d4af831724ad,Family,,,,Misc,N/A,,,,,,,,,
26d7bc4d-f22c-4e4c-b2fa-ed860bbb05c0,"Others (Describe in note)","Other (Describe in Note)",,,Misc,N/A,,,,,,,,,
1efa5192-845a-46ea-b1ef-fa70e4ff28ce,Inaudible,,,,Misc,N/A,,,,,,,,,
8d0f1beb-af17-43d1-a24b-bf39f9654af9,Audible,,,,Misc,N/A,,,,,,,,,
45aaf332-1710-4182-a150-2567684039a3,"Active (Learned)",,,,Misc,N/A,,,,,,,,,
017c2077-5cb7-4ac8-9fc7-e915c8f78285,"Passive (Obligatory)",,,,Misc,N/A,,,,,,,,,
6de76ab7-3417-4c04-af64-0f34a1d154c1,"No Grimace",,,,Misc,N/A,,,,,,,,,
26fb968f-0ca8-4952-9c5e-5ffe60eb349d,"Nasal Grimace",,,,Misc,N/A,,,,,,,,,
c85c8d43-ed39-407d-9cdd-33ef0dd69d25,"Facial Grimace",,,,Misc,N/A,,,,,,,,,
f6c74fa2-2ce2-44d8-91b4-5a6afd563e17,Slow,,,,Misc,N/A,,,,,,,,,
25bed83a-0e21-419a-852b-e66383d01136,Fast,,,,Misc,N/A,,,,,,,,,
7331fba1-a383-4df4-a1b3-04790cff8e02,"No Concern",,,,Misc,N/A,,,,,,,,,
50445246-bd3f-4d0c-b4aa-71f7a356a99f,Mild,,,,Misc,N/A,,,,,,,,,
da189ee8-b1b9-4fe4-b41f-1e40d23edaab,"Speech Therapy - Motor Milestones","Motor Milestones",,,Misc,Text,,,,,,,,,
4f4e8a70-2b10-4904-b5a2-e6035683cfe2,"Speech Therapy - Speech and Language Milestones","Speech and Language Milestones",,,Misc,Text,,,,,,,,,
bec3dfe2-309c-42d2-9a47-0fb48090ca42,"Speech Therapy - Language and Communication","Language and Communication",,,Misc,Text,,,,,,,,,
fdb35d3b-8166-4099-a658-d9b1d40e859e,Liquids,,,,Misc,Coded,,,,,,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,,
88ba109b-0596-4c87-9e7c-5dd1c7ae340b,Semisolids,,,,Misc,Coded,,,,,,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,,
cf87c204-c512-4b06-b1a6-c0c1aea1913d,Solids,,,,Misc,Coded,,,,,,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,,
7868509d-907b-40c4-8078-b5b290bf9bb7,"Social Smile",,,,Misc,Coded,,,,,,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,,
a545f980-d57d-4cc2-bd8f-f0fbf8c07d38,Alertness,,,,Misc,Coded,,,,,,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,,
46a9f626-68f3-4a4c-8248-d097f85da8fa,Cooing,,,,Misc,Coded,,,,,,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,,
5e4f3782-47b8-44e0-a4c5-a6e3aecec861,Babbling,,,,Misc,Coded,,,,,,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,,
d524cd7f-3538-4253-b854-d7a86715184a,"Gesture Request by Pointing",,,,Misc,Coded,,,,,,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,,
395e719d-3e1d-4531-acca-f35f0f78787a,"Understands Person and Object Names","Understands names",,,Misc,Coded,,,,,,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,,
668bcf26-2c0f-4beb-93b6-c0aa7d0091e3,"Identifies Family Members",,,,Misc,Coded,,,,,,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,,
2996a5f5-2ef2-4c9b-9592-21904d6a7fd3,"Inhibits to NO","Inhibits to 'no'",,,Misc,Coded,,,,,,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,,
2b94e80a-bbec-4beb-85e5-69a9582efe73,"True Words",,,,Misc,Coded,,,,,,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,,
04bc0635-bb2a-4fa5-b208-003d80c12fe8,"Test Administered",,,,Misc,Coded,,,,,,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,
b5b8f3d2-e91a-4b3c-b96f-bd2f6908d8be,"Test Results Comment",,,,Misc,Text,,,,,,,,,
1f2f73b0-3ab5-4661-b9ef-b0ed36c9c930,"Inappropriate - Loud",,,,Misc,N/A,,,,,,,,,
74c4dfe5-6a6b-4c26-82e8-421521ae5045,"Other Difficulties",,,,Misc,Coded,,,,,,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,
3c0556e1-1465-43c7-abff-d319b1eb8988,"Age of Admission",,,,Misc,Numeric,,,,,,,,,
23d781d5-4299-491b-a39a-0ce73dd24ab3,"Current school grade",,,,Misc,Numeric,,,,,,,,,
6fa8e570-a973-4c9c-bdcf-18376d024fa4,"Years of Study",,,,Misc,Numeric,,,,,,,,,
df797203-495d-4fa0-8a83-a21b3000d282,"Name of school or college",,,,Misc,Text,,,,,,,,,
3769e14e-543f-44df-ae87-d4ca01c94e85,"Address of school or college",,,,Misc,Text,,,,,,,,,
ca7952d8-dc0c-4222-b684-a202ba7730ca,"Oronasal Fistula - Location","Location (describe)",,,Misc,Text,,,,,,,,,
dbdd1f73-76a8-411d-b74f-428f641832d0,"Articulation and Phonology - Test results","Test Results",,,Misc,Text,,,,,,,,,
41eb3fb3-09a0-42e4-b660-5d8c114b49a9,"Cleft Type Characteristics - Fronting Errors","Fronting errors",,,Misc,Coded,,,,,,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,
035d5017-4b81-489f-8ec5-a57a6cae53b6,"Cleft Type Characteristics - backing errors - glottal","Backing errors - glottal",,,Misc,Coded,,,,,,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,
07b941a8-197d-491f-9371-edc9ca48d3be,"Cleft Type Characteristics - backing errors - pharyngeal","Backing errors - pharyngeal",,,Misc,Coded,,,,,,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,
d38e09bd-2c56-427f-9b1e-245ad84db3ea,"Cleft Type Characteristics - Active Nasal Fricative","Active Nasal Fricative",,,Misc,Coded,,,,,,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,
ea967cd1-2c1f-4296-8d69-8175aa138663,"Cleft Type Characteristics - Weak, Nasalized consonants","Weak, Nasalized consonants",,,Misc,Coded,,,,,,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,
b10ff25a-045a-4acf-b775-feb0a358b234,"Cleft Type Characteristics - Double Articulation","Double Articulation",,,Misc,Coded,,,,,,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,
9fd6b315-22a7-4de3-be81-4006a17ae47c,"Cleft Type Characteristics - Consonant Omissions","Consonant Omissions",,,Misc,Coded,,,,,,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,
cca67b42-530b-4401-aab6-70520ad3a9e9,Slight,,,,Misc,N/A,,,,,,,,,
1f15be96-521c-42ab-86d2-b457149bf47e,Replacing,,,,Misc,N/A,,,,,,,,,
ff91ac17-aae3-4306-a034-f78332aaab96,Accompanying,,,,Misc,N/A,,,,,,,,,
