uuid,Members,Answers,"Fully specified name:en","Short name:en",Description:en,"Data class","Data type","Allow decimals",Units,"Normal high","Normal low",_version:1,_order:1040
a7580f46-40c9-4c83-a623-b5866e5657f7,,,"Nasal layer repair by Vomes flap",,,Misc,N/A,,,,,,
cc28a371-0c3d-463f-aecc-f2e4803e8934,,,Re-repair,,,Misc,N/A,,,,,,
a2ff9414-6ea5-4512-b65c-45514f8cfa18,,,"Rotation - advancement variant",,,Misc,N/A,,,,,,
55e3699e-8944-4310-8f1a-d0f5b9eef6e2,,,"Segmental Osteotomy",,,Misc,N/A,,,,,,
5962cfeb-cb54-43c2-8829-9caa4bba8ca7,,,"Soft Palate repair",,,Misc,N/A,,,,,,
929edf92-e360-49ed-8952-7f64b48a3622,,,"Sphincter pharyngoplasty",,,Misc,N/A,,,,,,
41fda1db-8df8-4972-b79e-9ac515554426,,,"Superiorly based pharyngeal flap",,,Misc,N/A,,,,,,
589c9e5a-1d7c-4cf2-9416-cef59648df39,,,"Temporalis flap",,,Misc,N/A,,,,,,
7cf11f01-86fb-4f1d-a416-43fe31cbc52d,,,"Tongue flap",,,Misc,N/A,,,,,,
41fda303-4ca7-4a36-adb1-55c308e81563,,,"Triangular variant",,,Misc,N/A,,,,,,
da2fee98-3452-4d08-8625-3c3fbd8fff48,,,"Two flaps technique",,,Misc,N/A,,,,,,
685c07f1-05b6-47d8-997d-18e9bbd1a1fd,,,"Unilateral - right",,,Misc,N/A,,,,,,
dad58e38-2fdc-49f5-b474-2c60a0f55e9e,,,"Unilateral - left",,,Misc,N/A,,,,,,
60762fde-0a4d-42d5-a65e-6596aa83972a,,,"Intravelas veloplasty",,,Misc,N/A,,,,,,
ec88344a-dd76-437c-bf11-453629b224d9,,,"Lagenback technique",,,Misc,N/A,,,,,,
07356ab8-b091-49d4-842e-1ae57e499052,,,"Left Osteotomy",,,Misc,N/A,,,,,,
c76a148b-2de1-45e9-8dba-f08ae70d1a76,,,"Lefort Osteotomy",,,Misc,N/A,,,,,,
371d1266-83fb-4cd0-ae59-4adc4042572f,,,"Prior Cleft Surgery: Date","Date (YYYY-MM-DD)",,Misc,Date,,,,,,
8f888e7d-0341-4966-8bfe-98f3cf99b3c7,,,"Prior Cleft Surgery: Location",Location,,Misc,Text,,,,,,
01a01948-e599-4645-8d61-4719cd2ef82d,,,"Prior Cleft Surgery: Diagnosis if known","Diagnosis if known",,Misc,Text,,,,,,
91925e03-0e11-46ab-8de3-904b72a7956a,,a2065636-5326-40f5-aed6-0cc2cca81ccc,"Yes, No, Unknown",,,Misc,Coded,,,,,,
6514614e-29e9-4fe3-b1ae-e6bde7514bf0,,,"Yes (Describe in Note)",,,Misc,N/A,,,,,,
646e32bf-20c9-4d86-89e5-effcacacb555,,,"No. old ONE",No,,Misc,N/A,,,,,,
938b8fe6-e4d6-4545-9a78-56eae22ffae0,,,Not,,,Misc,N/A,,,,,,
302462e0-cfc6-461a-bcdf-cb5dac3fc953,,,"Unknown with comment",,,Test,Numeric,,,,,,
965c0ad7-f74d-406e-a812-01ea44f074a6,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e;3b75cc72-924b-4d36-8891-95484287495e,"Other craniofacial deformities",,,Misc,Coded,,,,,,
82502f72-bb72-4e2d-9e93-9571e991829d,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,"Discuss in Cleft Team meeting",,,Misc,Coded,,,,,,
8162f875-7e40-4fef-9526-fa9726579871,,,"Summary of Present Evaluation",Summary,,Misc,Text,,,,,,
38a3f4ac-c6cc-4843-aea9-d5f575e0f39c,,,Mekonen,,,Misc,N/A,,,,,,
10d9b4ee-755f-42d4-b003-7ba5e71f9792,,,Bethelihem,,,Misc,N/A,,,,,,
a4590533-9246-49f0-8bf8-c4efced205a0,,,Meserat,,,Misc,N/A,,,,,,
2c45bab0-8b80-420f-9967-d26ef6dce2dc,,,Hanna,,,Misc,N/A,,,,,,
21c11acf-8a54-44cb-844c-b27f4b5afc4c,,,Doctor,,,Misc,N/A,,,,,,
2dcfdf72-b8d2-4ecb-a952-04e3241a0b3c,,,"Registration Clerk",,,Misc,N/A,,,,,,
a9390e6f-f0cd-4b10-b7f3-83e28eb522a5,,,Nurse,,,Misc,N/A,,,,,,
9cea7f5c-2c1b-4b38-87e0-e4a035dd93a6,,,"Cleft Description",,,Misc,Coded,,,,,,
d092fbe0-c8fb-4eba-80ca-b52eef8b0ff8,,,"Not Cleft",,,Misc,N/A,,,,,,
054a3db2-ec29-4633-9206-7f3f7ee38385,,,"Complete Cleft",,,Misc,N/A,,,,,,
89940b37-ea9f-4a43-8ce7-4dfda935c765,,,"Incomplete Cleft",,,Misc,N/A,,,,,,
27d629f2-8495-478c-bc00-f162672c2552,,,Submucous,,,Misc,N/A,,,,,,
597af7d8-6d6a-4e90-a9f3-c17822f2996e,,,"Cleft Description for Diagnosis","Cleft Description",,ConvSet,N/A,,,,,,
b60eb2ed-2b3a-4802-ba98-04d5c118c848,,,"Cleft Diagnosis Form 2","Cleft Diagnosis",,Misc,N/A,,,,,,
30f2fb25-be57-43b9-8510-22e31744a9ea,,,"Cleft Diagnosis Note",Note,,Misc,Text,,,,,,
a607f4b7-6170-40fd-b942-35a3c9bcb145,,,"Registered, awaiting Evaluation",,,Misc,Date,,,,,,
ef61e710-a5b6-41fc-9848-9d9825408f83,,,"1 year review complete",,,Misc,N/A,,,,,,
e964f596-9703-4a76-832f-4cc26b0353ec,,,"1st session",,,Misc,N/A,,,,,,
9be91fbd-6c81-486a-b933-579f82221cbf,,,"2nd Session","Second Session",,Misc,N/A,,,,,,
e43d5a2b-fb71-4f68-b3a5-62d362182040,,,Discharged,,,Misc,N/A,,,,,,
dc7aa79f-6b05-48fb-842c-c7d20e4162e9,,,"Treatment plan determined",,,Misc,N/A,,,,,,
2b681359-2a5d-4160-8a46-609ac38c25b0,,,"Lost to Followup",,,Misc,N/A,,,,,,
8abe3205-9ca0-4031-b18a-fd75e40ef0db,,,"Transferred out of clinic",,,Misc,N/A,,,,,,
31d518f8-4d06-4ea7-82ef-51c3d9fc5e83,,,"Left Cleft program",,,Misc,N/A,,,,,,
36fed226-edbd-4ead-b5b7-ba2e26df5a39,,,Died,,,Misc,N/A,,,,,,
728523d2-2ae5-4c13-953c-0d82a5441de7,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,"Other Cleft Surgery","Other Cleft Surgery (Describe in Note)",,Misc,Coded,,,,,,
b95331db-8723-4b49-9999-949a7e71eef0,,,"Intake complete",,,Misc,N/A,,,,,,
86822a5d-1ef4-4af9-90d8-69e9fe46720e,,,"Diagnosis determined",,,Misc,N/A,,,,,,
b6eca1a6-f3a7-4661-8bdf-e7ed9f177008,,,"Reviewed in team meeting",,,Misc,N/A,,,,,,
d3fae7b9-139b-4fd5-8a3a-f035f4f84f74,,,"3-month review complete",,,Misc,N/A,,,,,,
31e352cf-2f7d-41d4-8dc1-c9691bfca9ec,,,"2 year review complete",,,Misc,N/A,,,,,,
d873e29f-5b35-41bb-bacc-1405829de159,,,"3 year review complete",,,Misc,N/A,,,,,,
2c384bbc-a863-472f-9324-1e427f1a39ba,,,"4 year review complete",,,Misc,N/A,,,,,,
422d1b58-b7d1-431d-8738-fc4641a22963,,,"Monthly review complete",,,Misc,N/A,,,,,,
1341de70-b329-4764-b82d-db70044c65e6,,,"Annual review complete",,,Misc,N/A,,,,,,
ca43e2c8-3ccb-430f-8753-2a28ad3a709e,,,"Cleft Care Program",,,Misc,N/A,,,,,,
d231899b-0474-41a7-84cb-dc6a586b49e4,,,"Is under Evaluation",,,Misc,Date,,,,,,
af05204d-cd2e-4edb-ba3b-89c4ff366bba,,,"Therapy session",,,Misc,N/A,,,,,,
f0ef4867-f4e9-4fdc-b5f1-f7f3ac11beaa,,,"Therapy complete",,,Misc,N/A,,,,,,
def794f4-142b-4274-8998-4c26316b0a28,,,"Speech Therapy Program",,,Misc,N/A,,,,,,
b124e993-5203-4868-8547-7312ce56cd11,,,"Speech Therapy - Type 1","Type 1",,Misc,N/A,,,,,,
3c5367c3-3918-4fe3-8ee0-24abe5c7d03c,,,"Speech Therapy - Type 2","Type 2",,Misc,N/A,,,,,,
46f2008d-896a-4a99-ad7b-c2e21a99f573,,,Adequate,,,Misc,N/A,,,,,,
19445afc-e20a-4a9b-91d3-e35c8ba05365,,,Inadequate,"Inadequate (describe in note)",,Misc,N/A,,,,,,
c1a98c2f-a037-4a6d-a1f1-39fbbbf22003,,,Abnormal,"Abnormal (describe in note)",,Misc,N/A,,,,,,
edd588bb-8474-4d16-b0d3-c9116f6119e8,,,"Age Appropriate",,,Misc,N/A,,,,,,
91359b65-77dc-463f-9957-5567f78cb914,,,"Delayed - Mild",,,Misc,N/A,,,,,,
a814089b-843c-47f7-8192-61602c82bc21,,,"Delayed - Moderate",,,Misc,N/A,,,,,,
7608483e-ddaf-48be-bfe7-935c72fdb37b,,,"Delayed - Severe",,,Misc,N/A,,,,,,
131394eb-204c-41e3-890d-45e6e670616b,,,Appropriate,,,Misc,N/A,,,,,,
74aae598-0ec1-483e-99e5-72c11af692c4,,,"Inappropriate - High",,,Misc,N/A,,,,,,
46c8804d-0a00-4180-b80f-e5f09451e107,,,"Inappropriate - Low",,,Misc,N/A,,,,,,
24453c53-8923-4deb-bd58-6666eac9897d,,,"Inappropriate - Soft",,,Misc,N/A,,,,,,
d1502e5f-2b01-48d2-a3a8-c16c2d108dfd,,,"Inappropriate - Breaks",,,Misc,N/A,,,,,,
4d6a43c0-3e18-4f71-ba34-4dc78bae4bdd,,,"Inappropriate - Nasal",,,Misc,N/A,,,,,,
3234690b-0a67-4fd0-b027-0940aade5a34,,,"Inappropriate - Hoarse",,,Misc,N/A,,,,,,
b4d2bb2e-6aeb-486c-9bf7-f07a4eeadd8e,,,"Inappropriate - Harsh",,,Misc,N/A,,,,,,
c97a4b31-f0b6-4fd3-8caa-3e4fffa11d8b,,,"Inappropriate - Breathy",,,Misc,N/A,,,,,,
08a18f78-66b3-4cd1-8865-bf3d342bc23d,,,"Inappropriate - Strained",,,Misc,N/A,,,,,,
2a592bb3-6d2b-4f14-89dc-47e537c61d1c,,,"Inappropriate - Aphonic",,,Misc,N/A,,,,,,
ae7c6c2a-c711-4bb7-9b6c-6346ba9c52ab,,,"Hyponasality - Mild",,,Misc,N/A,,,,,,
32c54e77-5126-4448-b027-4a8d7f60a256,,,"Hyponasality - Moderate",,,Misc,N/A,,,,,,
228ae12c-3c48-42cc-b15b-f38e70f705a7,,,"Hyponasality - severe",,,Misc,N/A,,,,,,
a16d3e0f-9be2-4bad-a1a1-174c332c1219,,,"Hypernasality - mild",,,Misc,N/A,,,,,,
13de5d71-6204-499d-ab32-2629f3ce919c,,,"Hypernasality - moderate",,,Misc,N/A,,,,,,
2b51553e-02f0-4e3d-aeb9-770f7f5021f8,,,"Hypernasality - Severe",,,Misc,N/A,,,,,,
0372400f-a051-495d-b2ab-33dd025f66da,,,Fair,,,Misc,N/A,,,,,,
39a19f17-402e-40a8-841c-1feb4bc16640,,,Poor,,,Misc,N/A,,,,,,
6fec766c-62b5-451a-8e94-97e71e04c30b,,,Passed,,,Misc,N/A,,,,,,
481d7bba-8ce0-4d0c-a7f6-6d3d890c4e8b,,,Failed,,,Misc,N/A,,,,,,
a1212087-35f0-4a94-98d5-495119714b01,,,"Below Average",,,Misc,N/A,,,,,,
2ed5bb3c-c008-4b02-a4af-8e0d68405fd6,,,Average,,,Misc,N/A,,,,,,
0f68e2e0-7a8b-48dc-a7d1-4a804b82bd3d,,,"Above Average",,,Misc,N/A,,,,,,
85c79283-18a4-4d95-bdd4-3bede3e1c473,,,Examined,"Examined (Describe in Note)",,Misc,N/A,,,,,,
3f9905a5-3b2d-4dbc-b17a-5b2a50216450,,,Scarred,,,Misc,N/A,,,,,,
7f2b54a7-cde0-4437-996f-881b9220a244,,,Narrow,,,Misc,N/A,,,,,,
e8f9cdc5-1cec-451c-8792-74b9be978f30,,,Repaired,,,Misc,N/A,,,,,,
39edec5d-dc50-4f12-b440-3e23688506b1,,,"Deviant Left",,,Misc,N/A,,,,,,
0e0196f8-b8a0-4e8c-bd62-6b4daab02345,,,"Deviant Right",,,Misc,N/A,,,,,,
8d768a1b-5084-4cd2-9286-567f8feb35f8,,,"Slight or None",,,Misc,N/A,,,,,,
f04f030d-5ab8-4123-8c72-175af0d50f75,,,"Apparently Normal",,,Misc,N/A,,,,,,
4d9434de-048a-4016-960a-321c73e4d2ac,,,Short,,,Misc,N/A,,,,,,
6b83cdbf-1f9b-4281-a1ed-0184886f5a5b,,,"Bifid Uvula",,,Misc,N/A,,,,,,
88c4ccbc-9e92-4057-9bbc-2216044907e5,,,Given,,,Misc,N/A,,,,,,
6ea87999-e358-4cf8-a022-09ae3ff73c12,,,"Not Given",,,Misc,N/A,,,,,,
cf3ae83c-412b-488a-8891-ccc51a43f89c,,,Auditory,,,Misc,N/A,,,,,,
11b35c65-0b8f-4f88-85f5-b028bb267b14,,,Visual,,,Misc,N/A,,,,,,
1cac8fcc-8015-4f56-8be2-5235c8812ae7,,,"Auditory and Visual",,,Misc,N/A,,,,,,
3e44b03a-8b41-4752-abff-10567397f47f,,,Clinician,,,Misc,N/A,,,,,,
ee368a30-bd1d-4ccf-96fc-d4af831724ad,,,Family,,,Misc,N/A,,,,,,
26d7bc4d-f22c-4e4c-b2fa-ed860bbb05c0,,,"Others (Describe in note)","Other (Describe in Note)",,Misc,N/A,,,,,,
1efa5192-845a-46ea-b1ef-fa70e4ff28ce,,,Inaudible,,,Misc,N/A,,,,,,
8d0f1beb-af17-43d1-a24b-bf39f9654af9,,,Audible,,,Misc,N/A,,,,,,
45aaf332-1710-4182-a150-2567684039a3,,,"Active (Learned)",,,Misc,N/A,,,,,,
017c2077-5cb7-4ac8-9fc7-e915c8f78285,,,"Passive (Obligatory)",,,Misc,N/A,,,,,,
6de76ab7-3417-4c04-af64-0f34a1d154c1,,,"No Grimace",,,Misc,N/A,,,,,,
26fb968f-0ca8-4952-9c5e-5ffe60eb349d,,,"Nasal Grimace",,,Misc,N/A,,,,,,
c85c8d43-ed39-407d-9cdd-33ef0dd69d25,,,"Facial Grimace",,,Misc,N/A,,,,,,
f6c74fa2-2ce2-44d8-91b4-5a6afd563e17,,,Slow,,,Misc,N/A,,,,,,
25bed83a-0e21-419a-852b-e66383d01136,,,Fast,,,Misc,N/A,,,,,,
7331fba1-a383-4df4-a1b3-04790cff8e02,,,"No Concern",,,Misc,N/A,,,,,,
50445246-bd3f-4d0c-b4aa-71f7a356a99f,,,Mild,,,Misc,N/A,,,,,,
da189ee8-b1b9-4fe4-b41f-1e40d23edaab,,,"Speech Therapy - Motor Milestones","Motor Milestones",,Misc,Text,,,,,,
4f4e8a70-2b10-4904-b5a2-e6035683cfe2,,,"Speech Therapy - Speech and Language Milestones","Speech and Language Milestones",,Misc,Text,,,,,,
bec3dfe2-309c-42d2-9a47-0fb48090ca42,,,"Speech Therapy - Language and Communication","Language and Communication",,Misc,Text,,,,,,
fdb35d3b-8166-4099-a658-d9b1d40e859e,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,Liquids,,,Misc,Coded,,,,,,
88ba109b-0596-4c87-9e7c-5dd1c7ae340b,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,Semisolids,,,Misc,Coded,,,,,,
cf87c204-c512-4b06-b1a6-c0c1aea1913d,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,Solids,,,Misc,Coded,,,,,,
7868509d-907b-40c4-8078-b5b290bf9bb7,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,"Social Smile",,,Misc,Coded,,,,,,
a545f980-d57d-4cc2-bd8f-f0fbf8c07d38,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,Alertness,,,Misc,Coded,,,,,,
46a9f626-68f3-4a4c-8248-d097f85da8fa,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,Cooing,,,Misc,Coded,,,,,,
5e4f3782-47b8-44e0-a4c5-a6e3aecec861,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,Babbling,,,Misc,Coded,,,,,,
d524cd7f-3538-4253-b854-d7a86715184a,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,"Gesture Request by Pointing",,,Misc,Coded,,,,,,
395e719d-3e1d-4531-acca-f35f0f78787a,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,"Understands Person and Object Names","Understands names",,Misc,Coded,,,,,,
668bcf26-2c0f-4beb-93b6-c0aa7d0091e3,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,"Identifies Family Members",,,Misc,Coded,,,,,,
2996a5f5-2ef2-4c9b-9592-21904d6a7fd3,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,"Inhibits to NO","Inhibits to 'no'",,Misc,Coded,,,,,,
2b94e80a-bbec-4beb-85e5-69a9582efe73,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,"True Words",,,Misc,Coded,,,,,,
04bc0635-bb2a-4fa5-b208-003d80c12fe8,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,"Test Administered",,,Misc,Coded,,,,,,
b5b8f3d2-e91a-4b3c-b96f-bd2f6908d8be,,,"Test Results Comment",,,Misc,Text,,,,,,
1f2f73b0-3ab5-4661-b9ef-b0ed36c9c930,,,"Inappropriate - Loud",,,Misc,N/A,,,,,,
74c4dfe5-6a6b-4c26-82e8-421521ae5045,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,"Other Difficulties",,,Misc,Coded,,,,,,
3c0556e1-1465-43c7-abff-d319b1eb8988,,,"Age of Admission",,,Misc,Numeric,,,,,,
23d781d5-4299-491b-a39a-0ce73dd24ab3,,,"Current school grade",,,Misc,Numeric,,,,,,
6fa8e570-a973-4c9c-bdcf-18376d024fa4,,,"Years of Study",,,Misc,Numeric,,,,,,
df797203-495d-4fa0-8a83-a21b3000d282,,,"Name of school or college",,,Misc,Text,,,,,,
3769e14e-543f-44df-ae87-d4ca01c94e85,,,"Address of school or college",,,Misc,Text,,,,,,
ca7952d8-dc0c-4222-b684-a202ba7730ca,,,"Oronasal Fistula - Location","Location (describe)",,Misc,Text,,,,,,
dbdd1f73-76a8-411d-b74f-428f641832d0,,,"Articulation and Phonology - Test results","Test Results",,Misc,Text,,,,,,
41eb3fb3-09a0-42e4-b660-5d8c114b49a9,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,"Cleft Type Characteristics - Fronting Errors","Fronting errors",,Misc,Coded,,,,,,
035d5017-4b81-489f-8ec5-a57a6cae53b6,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,"Cleft Type Characteristics - backing errors - glottal","Backing errors - glottal",,Misc,Coded,,,,,,
07b941a8-197d-491f-9371-edc9ca48d3be,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,"Cleft Type Characteristics - backing errors - pharyngeal","Backing errors - pharyngeal",,Misc,Coded,,,,,,
d38e09bd-2c56-427f-9b1e-245ad84db3ea,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,"Cleft Type Characteristics - Active Nasal Fricative","Active Nasal Fricative",,Misc,Coded,,,,,,
ea967cd1-2c1f-4296-8d69-8175aa138663,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,"Cleft Type Characteristics - Weak, Nasalized consonants","Weak, Nasalized consonants",,Misc,Coded,,,,,,
b10ff25a-045a-4acf-b775-feb0a358b234,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,"Cleft Type Characteristics - Double Articulation","Double Articulation",,Misc,Coded,,,,,,
9fd6b315-22a7-4de3-be81-4006a17ae47c,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,"Cleft Type Characteristics - Consonant Omissions","Consonant Omissions",,Misc,Coded,,,,,,
cca67b42-530b-4401-aab6-70520ad3a9e9,,,Slight,,,Misc,N/A,,,,,,
1f15be96-521c-42ab-86d2-b457149bf47e,,,Replacing,,,Misc,N/A,,,,,,
ff91ac17-aae3-4306-a034-f78332aaab96,,,Accompanying,,,Misc,N/A,,,,,,
ecdd0760-7b9c-4872-b1ea-a45d08cd0536,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,"Fluency - Inflections",Inflections,,Misc,Coded,,,,,,
7fe3b96b-bf0c-4c0a-b25f-43649448bdfc,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,"Fluency - Dysfluency",Dysfluency,,Misc,Coded,,,,,,
035da002-8220-4816-a342-84a4af58b854,,,"Speech Therapy - Video Endoscopic Exam Summary","Video Endoscopic Exam Summary",,Misc,Text,,,,,,
e6fb7bbc-f8ba-47d1-a255-36198f322e2e,,,"Speech Assessment Comment - 0-2yrs",,,Misc,Text,,,,,,
ec3c058d-a151-4a71-a4bf-bb4fc3d6e305,,,"Speech Assessment Recommendation - 0 - 2yrs",,,Misc,Text,,,,,,
57a2824a-a964-4107-b906-4a6ae36a124b,,,"Speech Therapy - Pre, Peri and Post Nasal History","Pre, Peri and Post Nasal History",,Misc,Text,,,,,,
6e6e4f78-b7b0-4c8f-9f37-9ec217103a75,,,"Speech History - Feeding History","Feeding History",,Misc,Text,,,,,,
c5a20672-5c6d-481d-9bf9-5b3ad9621ce2,,,"Speech Therapy - Session Number","Session Number",,Misc,Numeric,,,,,,
131f0955-8b76-4816-8567-367f4b301225,,,"Speech Therapy - Patient Age","Patient Age (at time of therapy session)",,Misc,Numeric,,,,,,
d64dfc13-a16d-4639-90e5-9efec398fee8,,,"Speech Therapy - Session Summary","Session Summary",,Misc,Text,,,,,,
ea1225e7-d575-41aa-a0a7-ff7e83d78d39,,,"Yekatit Hospital ID - OPD","OPD (Yekatit Hospital ID)",,Misc,Numeric,,,,,,
8c5f8430-3110-4ea9-b8bd-33d7b69871b6,,,"Cleft Surgery Program",,,Misc,N/A,,,,,,
772f18b0-00d6-48fd-913d-356cb8bfb155,,,"Cleft Surgery Patient Assessed for Surgery","Patient Assessed for Surgery",,Misc,N/A,,,,,,
33b94285-c4ec-4f66-9aa3-8a1a0a605334,,,"Cleft Surgery Patient Confirmed for Surgery","Patient Confirmed for Surgery",,Misc,N/A,,,,,,
6e67836c-cad8-4446-b6e4-573e9ca479e7,,,"Cleft Surgery Waiting for Hospital Bed","Waiting for Hospital Bed",,Misc,N/A,,,,,,
94fd89ad-091d-4d66-9fce-620944ee8e1c,,,"Cleft Surgery Surgery Date Confirmed","Surgery Date Confirmed",,Misc,N/A,,,,,,
a8362360-7dc5-4dfd-8e75-88496afa2886,,,"Cleft Surgery Patient Admitted","Patient Admitted",,Misc,N/A,,,,,,
73219ab0-0ff6-4ef6-91b6-abced8cfc5bf,,,"Cleft Surgery Completed","Surgery Completed",,Misc,N/A,,,,,,
dbd5c1f4-d41e-42af-b484-ae6db60692e2,,,"Cleft Surgery Followup Complete","Followup Complete",,Misc,N/A,,,,,,
